cz,Name,Household_Income_at_Age_35_rNA_gF_p25
cz800,Gastonia,23933
cz38902,Newport,23905
cz33801,Elk City,23888
cz10700,Birmingham,23789
cz38501,Moses Lake,23766
cz26406,Wolf Point,23759
cz36901,Crescent City,23685
cz24100,Milwaukee,23663
cz39302,Bellingham,23633
cz20401,Providence,23631
cz38901,Eugene,23613
cz35500,Gallup,23594
cz18300,Watertown,23590
cz17700,Syracuse,23560
cz27004,Winner,23523
cz8401,Aiken,23434
cz5900,Clarksville,23375
cz8000,Sumter,23333
cz9900,Tallahassee,23301
cz21502,Pine City,23250
cz5600,Nashville,23244
cz11302,Baltimore,23215
cz19500,Toms River,23188
cz21002,Houghton,23140
cz26803,Jamestown,23137
cz37602,Winnemucca,23132
cz34102,Anchorage,23050
cz6401,Chattanooga,23025
cz27011,Pierre,22952
cz28900,Denver,22863
cz27702,Cheyenne,22859
cz35001,Phoenix,22853
cz21001,Ashland,22837
cz36800,Medford,22836
cz30602,Alamogordo,22831
cz11900,Saginaw,22795
cz23100,Madison,22759
cz38602,Colville,22644
cz36700,Eureka,22557
cz39100,Kennewick,22507
cz21101,Rice Lake,22489
cz22602,Shawano,22464
cz7900,Gainesville,22458
cz16600,Roanoke,22389
cz20600,Manchester,22385
cz26604,Mobridge,22378
cz13700,Concord,22360
cz12001,Big Rapids,22353
cz29005,Hutchinson,22308
cz20003,Presque Isle,22264
cz14700,Evansville,22154
cz3600,Alexandria,22068
cz34308,Billings,21979
cz22900,La Crosse,21954
cz12501,Dayton,21950
cz3003,Jackson,21945
cz26704,Grand Forks,21926
cz29700,Springfield,21922
cz36600,Redding,21922
cz5202,Memphis,21872
cz13501,Toledo,21795
cz34901,Albuquerque,21783
cz1900,Jacksonville,21776
cz27005,Yankton,21618
cz36402,Vernal,21601
cz302,Knoxville,21577
cz26801,Fargo,21539
cz31001,Garden City,21538
cz27701,Scottsbluff,21505
cz22700,Wausau,21465
cz1400,Fayetteville,21398
cz33602,Altus,21344
cz25401,Paducah,21284
cz28101,Lincoln,21142
cz14400,Terre Haute,21136
cz9701,Columbus,20941
cz39000,Yakima,20929
cz12701,Cincinnati,20806
cz27501,Des Moines,20784
cz26701,Bemidji,20749
cz34304,Sheridan,20709
cz1203,Asheville,20659
cz34115,Fairbanks,20529
cz500,Greensboro,20508
cz30901,Clovis,20483
cz26002,Duluth,20419
cz6502,Cleveland,20414
cz21400,St. Cloud,20414
cz27704,Gordon,20404
cz21600,Brainerd,20368
cz34802,Santa Fe,20331
cz34107,Dillingham,20304
cz24000,Kenosha,20285
cz100,Johnson City,20269
cz34110,Sitka,20263
cz8701,Hinesville,20148
cz34202,Shelby,20145
cz16500,Erie,20137
cz34001,Hot Springs,20127
cz34113,Barrow,19983
cz13300,Findlay,19900
cz12901,Lexington-Fayette,19780
cz10801,Tuscaloosa,19674
cz27603,Southwest Jackson UT,19599
cz26602,Sisseton,19594
cz13800,Wayne,19516
cz8800,Savannah,19505
cz9400,Gainesville,19483
cz38100,Yuma,19442
cz19300,Poughkeepsie,19382
cz10400,Meridian,19195
cz35002,Safford,19187
cz34303,Riverton,19062
cz34111,Ketchikan,19020
cz4200,Little Rock,18738
cz1301,Bennettsville,18646
cz14900,Gary,18646
cz26411,Sidney,18533
cz35100,Tucson,18519
cz13101,Louisville,18467
cz200,Morristown,18434
cz27605,Mission,18372
cz1702,Henderson,18371
cz25601,Carbondale,18353
cz22800,Eau Claire,18331
cz27801,Columbus-Norfolk,18267
cz21501,Minneapolis,18236
cz1302,Florence,17957
cz34902,Socorro,17924
cz27008,Parkston,17903
cz34503,Kalispell,17846
cz11402,Marinette,17830
cz1100,Hickory,17785
cz27601,Rapid City,17735
cz34109,Juneau,17596
cz700,Spartanburg,17134
cz26503,Sioux Falls,17130
cz34106,Nome,17118
cz34201,Havre,16993
cz26605,Aberdeen,16942
cz28002,West Point,16928
cz34307,Colstrip,16735
cz6600,Rome,16670
cz26201,Bismarck,16490
cz28001,Sioux City,16409
cz38401,Lewiston,16000
cz27602,Eagle Butte,15947
cz26301,Devils Lake,15919
cz9600,LaGrange,15707
cz26501,Brookings,15631
cz34105,Kotzebue,15237
cz1600,Wilson,15234
cz27101,Willmar,14830
cz27009,Chamberlain,14805
cz20002,Calais,14749
cz34112,Bethel,14735
cz34103,Valdez,14692
cz18800,Scranton,14604
cz28702,Glenwood Springs,14474
cz17300,Staunton,14229
cz18400,Plattsburgh,13939
cz27006,Mitchell,13716
cz21102,Amery,13489
cz25900,Jonesboro,13464
cz26504,Watertown,13367
cz23900,Peoria,13021
cz26603,East Corson UT,12728
cz5500,Columbia,12538
cz15100,Lorain,11840
cz16000,Mansfield,11175
cz15400,Zanesville,11112
cz301,Middlesborough,
cz402,Martinsville,
cz601,North Wilkesboro,
cz602,Galax,
cz1001,Boone,
cz1201,Franklin,
cz1204,Andrews,
cz2100,Washington,
cz2200,South Boston,
cz2900,Hattiesburg,
cz3001,Kosciusko,
cz3002,Yazoo City,
cz3101,McComb,
cz3102,Brookhaven,
cz3202,Natchez,
cz3203,Vicksburg,
cz3902,Lake Providence,
cz4001,Magnolia,
cz4003,Ruston,
cz4101,Crossett,
cz4102,Pine Bluff,
cz4103,El Dorado,
cz4301,Stuttgart,
cz4302,Searcy,
cz4401,London,
cz4402,Richmond,
cz4501,West Liberty,
cz4502,Hazard,
cz4601,Campbellsville,
cz4602,Somerset,
cz4701,Greenwood,
cz4702,Clarksdale,
cz4800,Greenville,
