cz,Name,Household_Income_at_Age_35_rA_gF_p25
cz23700,Galesburg,48484
cz16600,Roanoke,48471
cz14900,Gary,48456
cz21501,Minneapolis,48382
cz38901,Eugene,48304
cz29003,Dodge City,48249
cz6700,Tampa,48219
cz35100,Tucson,48219
cz37601,Elko,48194
cz31700,Corpus Christi,48164
cz1500,Wilmington,48124
cz29800,Aurora,48040
cz21301,Mankato,48029
cz29901,Joplin,47953
cz39201,La Grande,47945
cz35600,Hilo,47911
cz34702,Kapaa,47880
cz3800,Lafayette,47843
cz17900,Union,47822
cz12200,Grand Rapids,47772
cz34308,Billings,47750
cz27903,Grand Island,47748
cz14000,Muncie,47736
cz34504,Missoula,47723
cz8900,Macon,47697
cz10000,Panama City,47579
cz24500,Rolla,47531
cz30903,Amarillo,47479
cz16500,Erie,47433
cz37901,Las Vegas,47387
cz21702,Austin,47371
cz8300,Greenville,47355
cz20600,Manchester,47124
cz900,Charlotte,47062
cz15100,Lorain,46992
cz27901,Hastings,46950
cz401,Winston-Salem,46922
cz37604,Reno,46912
cz5600,Nashville,46911
cz9301,Winder,46872
cz21801,Mason City,46834
cz6800,Lakeland,46809
cz2200,South Boston,46766
cz38100,Yuma,46754
cz200,Morristown,46725
cz24400,Rockford,46720
cz37200,Fresno,46693
cz2100,Washington,46636
cz24000,Kenosha,46620
cz30300,Fayetteville,46595
cz38601,Spokane,46594
cz20200,Burlington,46404
cz36301,Pocatello,46358
cz22800,Eau Claire,46334
cz35901,St. George,46334
cz22601,Green Bay,46281
cz7800,Ocala,46264
cz13000,Elizabethtown,46179
cz27601,Rapid City,46130
cz22500,Oshkosh,46107
cz13400,Lima,46091
cz21102,Amery,46070
cz31007,Dumas,46031
cz11001,Mobile,45849
cz18300,Watertown,45847
cz11500,Jackson,45839
cz38700,Longview,45788
cz26002,Duluth,45763
cz39000,Yakima,45756
cz26704,Grand Forks,45748
cz24801,Jacksonville,45739
cz35401,Flagstaff,45668
cz20302,Claremont,45664
cz1002,Morganton,45650
cz34703,Kahului,45582
cz36600,Redding,45544
cz30601,El Paso,45511
cz6900,Sarasota,45488
cz25701,Cape Girardeau,45390
cz4003,Ruston,45385
cz35201,Grand Junction,45376
cz28001,Sioux City,45258
cz25401,Paducah,45237
cz5700,Tullahoma,45193
cz15700,Scioto,45145
cz11900,Saginaw,45116
cz2700,Gulfport,45111
cz100,Johnson City,45031
cz7600,Jacksonville,44977
cz21900,Marshalltown,44915
cz11101,Montgomery,44884
cz21701,Rochester,44865
cz39100,Kennewick,44770
cz23200,Dubuque,44718
cz3901,Monroe,44669
cz24100,Milwaukee,44484
cz4200,Little Rock,44478
cz16200,Altoona,44366
cz33802,Chickasha,44248
cz8602,Brunswick,44181
cz16000,Mansfield,44029
cz11800,Mount Pleasant,44019
cz22900,La Crosse,44012
cz35701,Twin Falls,44001
cz13101,Louisville,43978
cz1800,Goldsboro,43894
cz15000,Canton,43885
cz32501,Abilene,43856
cz20401,Providence,43737
cz35801,Boise City,43606
cz20100,Portland,43580
cz29503,St. Joseph,43556
cz5401,Bowling Green,43555
cz34503,Kalispell,43492
cz10900,Pensacola,43488
cz24200,Bourbonnais,43342
cz11401,Marquette,43245
cz3700,Lake Charles,43234
cz9600,LaGrange,43230
cz4002,Shreveport,43184
