cz,Name,Household_Income_at_Age_35_rH_gF_p25
cz29700,Springfield,34031
cz30403,Okmulgee,34002
cz34002,Idabel,33988
cz29402,Emporia,33972
cz31700,Corpus Christi,33968
cz25701,Cape Girardeau,33942
cz7200,Cape Coral,33934
cz32701,Brownwood,33931
cz20500,Boston,33869
cz19300,Poughkeepsie,33835
cz32201,Huntsville,33824
cz29203,Manhattan,33823
cz37901,Las Vegas,33821
cz7300,Palm Bay,33801
cz21102,Amery,33794
cz30605,Van Horn,33763
cz31501,Crystal City,33752
cz9100,Atlanta,33733
cz23400,Bloomington,33701
cz31303,Kerrville,33696
cz29003,Dodge City,33643
cz12401,Alpena,33631
cz17200,Harrisonburg,33624
cz38901,Eugene,33600
cz27701,Scottsbluff,33599
cz2400,Richmond,33587
cz32900,Killeen,33562
cz28608,Kearney,33547
cz25602,Harrisburg,33543
cz33601,Lawton,33517
cz36902,Roseburg,33504
cz31302,Beeville,33490
cz17300,Staunton,33487
cz34203,Great Falls,33487
cz33200,Paris,33475
cz24701,St. Louis,33460
cz5201,New Albany,33440
cz16100,State College,33429
cz5900,Clarksville,33415
cz34504,Missoula,33411
cz29502,Kansas City,33389
cz33602,Altus,33389
cz31201,Austin,33364
cz35401,Flagstaff,33360
cz36301,Pocatello,33353
cz31103,Gonzales,33343
cz37603,Portola,33329
cz31800,College Station,33314
cz33803,Oklahoma City,33312
cz11403,Sault Ste. Marie,33301
cz8300,Greenville,33288
cz7500,Deltona,33243
cz30906,Memphis,33236
cz13400,Lima,33207
cz28301,Sterling,33206
cz27901,Hastings,33197
cz21702,Austin,33181
cz32501,Abilene,33162
cz22602,Shawano,33119
cz3700,Lake Charles,33112
cz31101,Victoria,33102
cz34115,Fairbanks,33093
cz28001,Sioux City,33081
cz13102,Madison,33062
cz16702,Morgantown,33041
cz34403,Helena,33017
cz28800,Fort Collins,33011
cz10502,Starkville,32996
cz25300,Union City,32954
cz8202,Charleston,32935
cz28900,Denver,32922
cz25601,Carbondale,32915
cz2500,Newport News,32897
cz35802,Ontario,32889
cz10400,Meridian,32880
cz32402,Sweetwater,32875
cz32601,Wichita Falls,32860
cz37200,Fresno,32773
cz1400,Fayetteville,32756
cz27601,Rapid City,32756
cz23900,Peoria,32745
cz34703,Kahului,32743
cz32802,Corsicana,32722
cz30701,Roswell,32717
cz28306,North Platte,32692
cz28503,Trinidad,32690
cz31301,San Antonio,32676
cz3901,Monroe,32656
cz32302,Brady,32648
cz20401,Providence,32612
cz30602,Alamogordo,32600
cz6501,Ellijay,32558
cz12302,Petoskey,32549
cz22700,Wausau,32525
cz20600,Manchester,32521
cz29901,Joplin,32521
cz26703,Thief River Falls,32501
cz39302,Bellingham,32480
cz38402,Pullman,32460
cz29501,Leavenworth,32447
cz25104,Heber Springs,32440
cz1500,Wilmington,32438
cz20901,Bridgeport,32434
cz18800,Scranton,32412
cz38601,Spokane,32397
cz17800,Oneonta,32380
cz33603,Frederick,32379
cz29005,Hutchinson,32360
cz29504,Sedalia,32357
cz35801,Boise City,32337
cz36100,Salt Lake City,32335
cz10302,Dothan,32314
cz11001,Mobile,32255
cz20902,Pittsfield,32250
cz1701,Raleigh,32231
cz13600,South Bend,32220
cz14700,Evansville,32218
cz34805,Alamosa,32192
cz13800,Wayne,32160
cz26503,Sioux Falls,32152
cz5300,West Memphis,32137
cz23100,Madison,32116
cz8701,Hinesville,32104
cz33500,Texarkana,32100
cz602,Galax,32083
cz30902,Littlefield,32068
cz25500,Centralia,32066
cz26411,Sidney,32058
cz17400,Hagerstown,32037
cz30402,Tulsa,32026
cz2700,Gulfport,32014
cz27101,Willmar,32000
cz29403,Bartlesville,31986
cz6900,Sarasota,31952
cz5600,Nashville,31949
cz8000,Sumter,31948
cz2000,Virginia Beach,31900
cz22001,Waterloo,31874
cz29301,Wichita,31866
cz26704,Grand Forks,31861
cz35500,Gallup,31824
cz12903,Danville,31798
cz33902,Sherman,31789
cz6800,Lakeland,31785
cz35100,Tucson,31766
cz34801,Las Vegas,31760
cz6000,Huntsville,31745
cz8800,Savannah,31713
cz13103,Bardstown,31710
cz32301,San Angelo,31708
cz24000,Kenosha,31706
cz35901,St. George,31701
cz29204,Topeka,31694
cz9900,Tallahassee,31692
