cz,Name,Household_Income_at_Age_35_rA_gM_p25
cz8300,Greenville,42170
cz37000,Modesto,42129
cz21600,Brainerd,42009
cz23100,Madison,41967
cz32202,Nacogdoches,41945
cz36501,Klamath Falls,41914
cz20401,Providence,41898
cz15300,Parkersburg,41886
cz9600,LaGrange,41864
cz1800,Goldsboro,41836
cz38901,Eugene,41825
cz34701,Honolulu,41801
cz6502,Cleveland,41722
cz32601,Wichita Falls,41719
cz7500,Deltona,41709
cz22400,Sheboygan,41694
cz24000,Kenosha,41616
cz33300,Tyler,41614
cz14700,Evansville,41453
cz29601,Columbia,41422
cz29502,Kansas City,41416
cz12800,Washington,41369
cz18900,Williamsport,41362
cz13501,Toledo,41303
cz3400,Houma,41288
cz28900,Denver,41274
cz34504,Missoula,41206
cz8202,Charleston,41178
cz3800,Lafayette,41140
cz34703,Kahului,41121
cz12200,Grand Rapids,41103
cz15000,Canton,41100
cz4200,Little Rock,41069
cz31503,Laredo,41069
cz7200,Cape Coral,41047
cz700,Spartanburg,41029
cz35100,Tucson,40969
cz5000,Tupelo,40920
cz19901,Dover,40598
cz18300,Watertown,40572
cz5900,Clarksville,40518
cz28401,Colorado Springs,40498
cz38501,Moses Lake,40404
cz3901,Monroe,40381
cz10501,Columbus,40374
cz13101,Louisville,40332
cz11101,Montgomery,40256
cz13700,Concord,40211
cz8701,Hinesville,40158
cz3003,Jackson,40104
cz24100,Milwaukee,40094
cz11800,Mount Pleasant,40089
cz900,Charlotte,40056
cz18100,Elmira,39971
cz30701,Roswell,39967
cz22700,Wausau,39940
cz100,Johnson City,39914
cz21501,Minneapolis,39914
cz33602,Altus,39906
cz33902,Sherman,39842
cz27102,Marshall,39793
cz16600,Roanoke,39735
cz10302,Dothan,39691
cz1600,Wilson,39663
cz1400,Fayetteville,39484
cz22300,Ottumwa,39479
cz6900,Sarasota,39477
cz23000,Monroe,39473
cz20100,Portland,39402
cz37200,Fresno,39310
cz26801,Fargo,39239
cz29700,Springfield,39115
cz39302,Bellingham,39109
cz6700,Tampa,39049
cz29302,Newton,39046
cz800,Gastonia,39005
cz32801,Waco,38944
cz21701,Rochester,38930
cz22500,Oshkosh,38929
cz29003,Dodge City,38888
cz25300,Union City,38861
cz20800,Springfield,38808
cz17900,Union,38779
cz8502,Cordele,38749
cz6302,Cookeville,38588
cz18201,Olean,38565
cz22800,Eau Claire,38500
cz7700,Lake City,38475
cz32301,San Angelo,38431
cz34115,Fairbanks,38341
cz200,Morristown,38315
cz1302,Florence,38247
cz24500,Rolla,38230
cz8601,Waycross,38129
cz29204,Topeka,38129
cz20200,Burlington,38119
cz7600,Jacksonville,38080
cz18700,Sunbury,38076
cz36600,Redding,37954
cz19902,Easton,37948
cz32900,Killeen,37938
cz30000,Russellville,37858
cz37901,Las Vegas,37843
cz5600,Nashville,37789
cz22601,Green Bay,37772
cz8900,Macon,37755
cz2600,Roanoke Rapids,37751
cz401,Winston-Salem,37744
cz38700,Longview,37731
cz25500,Centralia,37715
cz22200,Cedar Rapids,37635
cz9301,Winder,37524
cz14100,Fort Wayne,37524
cz29901,Joplin,37476
cz26503,Sioux Falls,37442
cz12001,Big Rapids,37396
cz35600,Hilo,37389
cz3203,Vicksburg,37340
cz34102,Anchorage,37275
cz11201,Bluefield,37028
cz27201,Sioux Center,36978
cz13000,Elizabethtown,36942
cz4701,Greenwood,36881
cz38902,Newport,36862
cz8000,Sumter,36771
cz1900,Jacksonville,36718
cz10200,Albany,36603
cz31004,Liberal,36575
cz35801,Boise City,36413
cz39303,Port Angeles,36403
cz8602,Brunswick,36371
cz9500,Talladega,36370
cz9701,Columbus,36352
cz5500,Columbia,36095
cz34702,Kapaa,36025
cz12301,Traverse City,35998
cz10000,Panama City,35992
cz30100,Fort Smith,35892
cz10400,Meridian,35807
cz28001,Sioux City,35767
cz20003,Presque Isle,35482
cz36700,Eureka,35374
cz2100,Washington,35353
cz1100,Hickory,35307
cz32501,Abilene,35277
cz34111,Ketchikan,35230
cz3600,Alexandria,35097
cz27202,Worthington,35093
cz30300,Fayetteville,35084
cz29104,Salina,34963
cz10900,Pensacola,34960
cz31007,Dumas,34931
cz2700,Gulfport,34853
cz22900,La Crosse,34816
cz24400,Rockford,34780
cz25701,Cape Girardeau,34759
cz12402,Grayling charter,34572
cz21101,Rice Lake,34501
cz20700,Keene,34269
cz35802,Ontario,34177
cz25401,Paducah,34084
cz9400,Gainesville,34065
cz500,Greensboro,34048
cz25800,Blytheville,34033
cz27903,Grand Island,33971
cz23301,Charleston,33877
cz15700,Scioto,33788
cz11500,Jackson,33624
cz27601,Rapid City,33589
cz13300,Findlay,33570
cz18400,Plattsburgh,33312
cz28702,Glenwood Springs,33309
cz2900,Hattiesburg,33131
cz15100,Lorain,33005
cz34203,Great Falls,32887
cz21400,St. Cloud,32766
cz27401,Storm Lake,32749
cz12600,Wayne,32552
cz2200,South Boston,32493
cz34109,Juneau,32418
cz4002,Shreveport,32262
cz1500,Wilmington,32182
cz39203,Bend,32135
cz34308,Billings,31900
cz4102,Pine Bluff,31802
cz1002,Morganton,31739
cz15400,Zanesville,31184
cz30903,Amarillo,30111
cz30602,Alamogordo,29346
cz36301,Pocatello,29079
cz34108,Kodiak,28701
cz24600,Farmington,27733
cz26704,Grand Forks,27254
cz17000,Pikeville,27077
cz34503,Kalispell,26349
cz26701,Bemidji,25791
cz27101,Willmar,25452
cz5401,Bowling Green,25323
cz15500,Steubenville,21215
cz12502,Washington Court House,21034
cz301,Middlesborough,
cz402,Martinsville,
cz601,North Wilkesboro,
cz602,Galax,
cz1001,Boone,
cz1201,Franklin,
cz1202,Sylva,
cz1204,Andrews,
cz1301,Bennettsville,
cz1702,Henderson,
cz2800,Laurel,
cz3001,Kosciusko,
cz3002,Yazoo City,
cz3101,McComb,
cz3102,Brookhaven,
cz3202,Natchez,
cz3902,Lake Providence,
cz4001,Magnolia,
cz4003,Ruston,
cz4004,Many,
cz4101,Crossett,
cz4301,Stuttgart,
cz4302,Searcy,
cz4401,London,
cz4501,West Liberty,
cz4502,Hazard,
cz4601,Campbellsville,
cz4602,Somerset,
cz4702,Clarksdale,
cz4902,Dyersburg,
cz4903,Lexington,
cz5201,New Albany,
cz5402,Glasgow,
cz6301,McMinnville,
cz6402,Crossville,
cz6501,Ellijay,
cz8201,Barnwell,
cz8402,Washington,
cz8501,Fitzgerald,
cz10101,Bainbridge,
cz10102,Thomasville,
cz10301,Eufaula,
cz10600,Jasper,
cz10802,Demopolis,
cz11002,Atmore,
cz11102,Troy,
cz11202,Welch,
cz11203,Big Stone Gap,
cz11303,Colonial Beach,
cz11403,Sault Ste. Marie,
cz12002,Ludington,
cz12401,Alpena,
cz12702,Maysville,
cz12902,Mount Sterling,
cz12903,Danville,
cz13102,Madison,
cz13103,Bardstown,
cz14801,Olney,
cz14802,Vincennes,
cz16701,Elkins,
cz16703,Buckhannon,
cz16802,Summersville,
cz16902,Spencer,
cz18202,St. Marys,
cz19903,Chincoteague,
cz20002,Calais,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz21001,Ashland,
cz21002,Houghton,
cz21003,Ironwood,
cz21004,Rhinelander,
cz21102,Amery,
cz21201,Hutchinson,
cz21502,Pine City,
cz21802,Decorah,
cz22002,Iowa Falls,
cz22602,Shawano,
cz23802,Clinton,
cz24702,Mexico,
cz24801,Jacksonville,
cz25101,Mountain Home,
cz25102,West Plains,
cz25103,Harrison,
cz25104,Heber Springs,
cz25105,Batesville,
cz25402,Murray,
cz25602,Harrisburg,
cz25702,Poplar Bluff,
cz26001,Roseau,
cz26004,International Falls,
cz26101,Moberly,
cz26102,Marshall,
cz26103,Brookfield,
cz26104,Trenton,
cz26105,Polk,
cz26106,Centerville,
cz26107,Kirksville,
cz26201,Bismarck,
cz26301,Devils Lake,
cz26409,Glendive,
cz26501,Brookings,
cz26502,Madison,
cz26504,Watertown,
cz26601,Milbank,
cz26602,Sisseton,
cz26605,Aberdeen,
cz26702,Grafton,
cz26703,Thief River Falls,
cz26802,Lisbon,
cz26803,Jamestown,
cz26902,Little Falls,
cz27001,O'Neill,
cz27005,Yankton,
cz27006,Mitchell,
cz27007,Huron,
cz27008,Parkston,
cz27011,Pierre,
cz27502,Creston,
cz27503,Atlantic,
cz27504,Carroll,
cz27605,Mission,
cz27703,Torrington,
cz27801,Columbus-Norfolk,
cz27802,Columbus,
cz28002,West Point,
cz28102,Nebraska City,
cz28201,Red Oak,
cz28301,Sterling,
cz28302,Ogallala,
cz28304,Valentine,
cz28305,Broken Bow,
cz28306,North Platte,
cz28503,Trinidad,
cz28603,Phillipsburg,
cz28605,Goodland,
cz28608,Kearney,
cz28609,Lexington,
cz28701,Salida,
cz28704,Laramie,
cz29004,Great Bend,
cz29006,Hays,
cz29101,Concordia,
cz29103,Beloit,
cz29201,Hiawatha,
cz29202,Marysville,
cz29401,Ottawa,
cz29505,Polk,
cz29506,Bethany,
cz29602,Eldon,
cz29902,Center,
cz30403,Okmulgee,
cz30501,Woodward,
cz30603,Truth or Consequences,
cz30604,Deming,
cz30801,Hobbs,
cz30902,Littlefield,
cz30904,Pampa,
cz30906,Memphis,
cz30908,Plainview,
cz31002,Ulysses,
cz31005,Perryton,
cz31006,Guymon,
cz31102,La Grange,
cz31103,Gonzales,
cz31202,Burnet,
cz31302,Beeville,
cz31303,Kerrville,
cz31402,Pecos,
cz31403,Fort Stockton,
cz31404,Alpine,
cz31501,Crystal City,
cz31502,Pearsall,
cz32302,Brady,
cz32303,Junction,
cz32304,Uvalde,
cz32305,Del Rio,
cz32306,Eagle Pass,
cz32401,Big Spring,
cz32402,Sweetwater,
cz32403,Snyder,
cz32502,Childress,
cz32602,Graham,
cz32604,Vernon,
cz32701,Brownwood,
cz32702,Stephenville,
cz33801,Elk City,
cz33802,Chickasha,
cz33901,Ada,
cz34002,Idabel,
cz34112,Bethel,
cz34201,Havre,
cz34202,Shelby,
cz34204,Lewistown,
cz34301,Cody,
cz34303,Riverton,
cz34304,Sheridan,
cz34305,Miles City,
cz34401,Dillon,
cz34402,Bozeman,
cz34403,Helena,
cz34404,Butte-Silver Bow,
cz34502,Libby,
cz34601,Gillette,
cz34801,Las Vegas,
cz34803,Tucumcari,
cz34804,Clayton,
cz34805,Alamosa,
cz34902,Socorro,
cz35002,Safford,
cz35202,Gunnison,
cz35402,Cortez,
cz35702,Burley,
cz35902,Price,
cz35903,Moab,
cz35904,Richfield,
cz36302,Salmon,
cz36401,Steamboat Springs,
cz36402,Vernal,
cz36403,Soda Springs,
cz36404,Rock Springs,
cz36502,Burns,
cz37903,Mammoth Lakes,
cz38602,Colville,
cz39201,La Grande,
cz39205,John Day,
cz20402,Nantucket,
cz21202,Redwood Falls,
cz26303,Turtle Mountain UT,
cz26305,Rugby,
cz26404,Lemmon,
cz26410,Dickinson,
cz26411,Sidney,
cz26412,Williston,
cz27002,Ord,
cz27902,York,
cz28604,Colby,
cz28607,McCook,
cz29001,Pratt,
cz29102,Superior,
cz32503,Haskell,
cz33603,Frederick,
cz34302,Worland,
cz34602,Rawlins,
cz36503,Lakeview,
cz37602,Winnemucca,
cz39301,Friday Harbor,
cz26604,Mobridge,
cz27010,Miller,
cz31003,Scott City,
cz27603,Southwest Jackson UT,
cz26408,Glasgow,
cz27004,Winner,
cz26406,Wolf Point,
cz34107,Dillingham,
cz26603,East Corson UT,
cz27704,Gordon,
cz27602,Eagle Butte,
cz34307,Colstrip,
cz34105,Kotzebue,
cz27009,Chamberlain,
cz34106,Nome,
cz34101,Sand Point,
cz34103,Valdez,
cz34113,Barrow,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz34114,Unalaska,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz30905,Wellington,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz34501,Bonners Ferry,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz3201,Jena,
cz29007,Township 11,
cz28504,Burlington,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
cz32603,Seymour,
cz39202,Enterprise,
cz36303,Jackson,
cz26407,Plentywood,
cz35905,Loa,
cz27604,Murdo,
cz28501,Springfield,
cz37603,Portola,
cz28303,Oshkosh,
cz30702,Santa Rosa,
cz30605,Van Horn,
