cz,Name,Household_Income_at_Age_35_rH_gM_p25
cz19300,Poughkeepsie,33136
cz21004,Rhinelander,33118
cz10000,Panama City,33072
cz30200,Muskogee,33050
cz22400,Sheboygan,33044
cz30702,Santa Rosa,33031
cz34108,Kodiak,33027
cz14500,Lafayette,33009
cz29401,Ottawa,32980
cz18800,Scranton,32933
cz11001,Mobile,32928
cz17400,Hagerstown,32920
cz35902,Price,32920
cz29902,Center,32904
cz26704,Grand Forks,32874
cz32501,Abilene,32858
cz35903,Moab,32854
cz14600,Bloomington,32852
cz10502,Starkville,32836
cz39000,Yakima,32833
cz21301,Mankato,32823
cz33602,Altus,32796
cz30000,Russellville,32792
cz16200,Altoona,32755
cz33902,Sherman,32751
cz20001,Bangor,32746
cz32802,Corsicana,32734
cz1202,Sylva,32733
cz30908,Plainview,32721
cz18700,Sunbury,32666
cz31001,Garden City,32660
cz34703,Kahului,32636
cz39302,Bellingham,32594
cz37000,Modesto,32578
cz2800,Laurel,32565
cz4301,Stuttgart,32544
cz33000,Fort Worth,32524
cz26701,Bemidji,32490
cz4003,Ruston,32460
cz13800,Wayne,32421
cz20500,Boston,32386
cz29302,Newton,32372
cz28301,Sterling,32367
cz7100,Port St. Lucie,32348
cz39203,Bend,32334
cz28704,Laramie,32308
cz8601,Waycross,32305
cz37400,Sacramento,32290
cz26702,Grafton,32247
cz33500,Texarkana,32233
cz13102,Madison,32219
cz28702,Glenwood Springs,32210
cz29203,Manhattan,32209
cz32604,Vernon,32204
cz31202,Burnet,32116
cz24400,Rockford,32070
cz35401,Flagstaff,32054
cz12301,Traverse City,32043
cz29901,Joplin,31982
cz8701,Hinesville,31957
cz36800,Medford,31955
cz30903,Amarillo,31948
cz34503,Kalispell,31944
cz20600,Manchester,31921
cz11303,Colonial Beach,31911
cz21701,Rochester,31911
cz27501,Des Moines,31858
cz7700,Lake City,31836
cz26105,Polk,31778
cz2000,Virginia Beach,31733
cz9600,LaGrange,31697
cz33100,Dallas,31677
cz36100,Salt Lake City,31674
cz5201,New Albany,31668
cz36600,Redding,31635
cz26504,Watertown,31626
cz29501,Leavenworth,31624
cz8000,Sumter,31605
cz26801,Fargo,31594
cz25300,Union City,31568
cz26503,Sioux Falls,31558
cz9400,Gainesville,31529
cz30300,Fayetteville,31504
cz11302,Baltimore,31493
cz33803,Oklahoma City,31472
cz17300,Staunton,31461
cz34803,Tucumcari,31441
cz23100,Madison,31429
cz7400,Orlando,31421
cz4002,Shreveport,31413
cz33200,Paris,31411
cz29502,Kansas City,31406
cz25900,Jonesboro,31342
cz24701,St. Louis,31334
cz38801,Portland,31320
cz34203,Great Falls,31313
cz36302,Salmon,31302
cz4103,El Dorado,31276
cz28900,Denver,31274
cz22300,Ottumwa,31252
cz32301,San Angelo,31233
cz24100,Milwaukee,31217
cz21302,Owatonna,31215
cz17800,Oneonta,31198
cz34002,Idabel,31179
cz34403,Helena,31162
cz29006,Hays,31160
cz22002,Iowa Falls,31144
cz6800,Lakeland,31133
cz30602,Alamogordo,31118
cz13300,Findlay,31094
cz1001,Boone,31051
cz2300,Lynchburg,31049
cz24200,Bourbonnais,31046
cz3600,Alexandria,31032
cz23500,Decatur,31008
cz8800,Savannah,31003
cz9302,Toccoa,30986
cz24801,Jacksonville,30951
cz9900,Tallahassee,30944
cz10802,Demopolis,30938
cz20401,Providence,30917
cz35801,Boise City,30909
cz25105,Batesville,30905
cz13600,South Bend,30888
cz4102,Pine Bluff,30886
cz32601,Wichita Falls,30879
cz32900,Killeen,30878
cz37903,Mammoth Lakes,30875
