cz,Name,Household_Income_at_Age_35_rW_gM_p25
cz34113,Barrow,39580
cz21900,Marshalltown,39570
cz30901,Clovis,39518
cz24300,Chicago,39439
cz29302,Newton,39431
cz19500,Toms River,39416
cz35902,Price,39368
cz35901,St. George,39307
cz34502,Libby,39302
cz22200,Cedar Rapids,39285
cz31404,Alpine,39282
cz20500,Boston,39220
cz34805,Alamosa,39219
cz3700,Lake Charles,39162
cz39302,Bellingham,39143
cz3002,Yazoo City,39107
cz28101,Lincoln,39084
cz27702,Cheyenne,39051
cz34112,Bethel,39026
cz27502,Creston,38993
cz3102,Brookhaven,38958
cz3500,Baton Rouge,38946
cz36301,Pocatello,38893
cz34110,Sitka,38884
cz21502,Pine City,38793
cz39205,John Day,38791
cz32202,Nacogdoches,38786
cz35201,Grand Junction,38765
cz11304,Washington,38762
cz29203,Manhattan,38641
cz30802,Lubbock,38628
cz34404,Butte-Silver Bow,38623
cz34504,Missoula,38621
cz32100,Beaumont,38599
cz21101,Rice Lake,38580
cz30401,Stillwater,38577
cz21004,Rhinelander,38508
cz32301,San Angelo,38504
cz28402,Limon,38486
cz19100,Reading,38482
cz16300,Pittsburgh,38456
cz33802,Chickasha,38437
cz35701,Twin Falls,38399
cz38200,Santa Barbara,38383
cz24200,Bourbonnais,38371
cz3600,Alexandria,38350
cz37902,Reno,38343
cz22300,Ottumwa,38317
cz29003,Dodge City,38310
cz32000,Houston,38303
cz34203,Great Falls,38212
cz3001,Kosciusko,38209
cz29506,Bethany,38204
cz30502,Enid,38186
cz22602,Shawano,38162
cz27501,Des Moines,38107
cz33602,Altus,38103
cz21002,Houghton,38069
cz3101,McComb,38000
cz35402,Cortez,37947
cz37800,San Francisco,37946
cz34103,Valdez,37931
cz11402,Marinette,37916
cz26105,Polk,37896
cz22400,Sheboygan,37878
cz33400,Longview,37861
cz19700,Philadelphia,37833
cz28202,Omaha,37831
cz16100,State College,37795
cz39301,Friday Harbor,37784
cz22500,Oshkosh,37759
cz34503,Kalispell,37750
cz23100,Madison,37749
cz26106,Centerville,37710
cz19000,Allentown,37700
cz37500,San Jose,37700
cz2800,Laurel,37684
cz29002,Coldwater,37657
cz30604,Deming,37655
cz22900,La Crosse,37618
cz38602,Colville,37580
cz26002,Duluth,37537
cz32501,Abilene,37531
cz36502,Burns,37518
cz32802,Corsicana,37501
cz34602,Rawlins,37477
cz3201,Jena,37476
cz15600,Wheeling,37398
cz38501,Moses Lake,37394
cz38000,San Diego,37353
cz4002,Shreveport,37350
cz34403,Helena,37350
cz31700,Corpus Christi,37307
cz14801,Olney,37305
cz38502,Wenatchee,37206
cz18700,Sunbury,37119
