cz,Name,Household_Income_at_Age_35_rB_gM_p25
cz12800,Washington,21929
cz32601,Wichita Falls,21928
cz2900,Hattiesburg,21912
cz14700,Evansville,21897
cz8000,Sumter,21896
cz17100,Huntington,21891
cz34001,Hot Springs,21887
cz15400,Zanesville,21852
cz22400,Sheboygan,21836
cz8602,Brunswick,21780
cz19901,Dover,21774
cz22001,Waterloo,21772
cz25000,Quincy,21770
cz32202,Nacogdoches,21751
cz19300,Poughkeepsie,21738
cz32602,Graham,21712
cz38501,Moses Lake,21705
cz7000,Miami,21700
cz3600,Alexandria,21640
cz11402,Marinette,21624
cz5401,Bowling Green,21606
cz4004,Many,21587
cz10101,Bainbridge,21584
cz2100,Washington,21571
cz9800,Auburn,21571
cz20902,Pittsfield,21563
cz29700,Springfield,21558
cz33700,Ardmore,21528
cz39203,Bend,21522
cz27501,Des Moines,21493
cz30802,Lubbock,21490
cz27102,Marshall,21449
cz6502,Cleveland,21447
cz37800,San Francisco,21441
cz2000,Virginia Beach,21437
cz14300,Columbus,21430
cz4002,Shreveport,21424
cz1301,Bennettsville,21357
cz14900,Gary,21352
cz31800,College Station,21318
cz29104,Salina,21294
cz37100,Bakersfield,21271
cz18600,Albany,21236
cz25300,Union City,21226
cz21900,Marshalltown,21215
cz32201,Huntsville,21207
cz17600,Charlottesville,21205
cz39302,Bellingham,21190
cz1302,Florence,21181
cz4602,Somerset,21175
cz11001,Mobile,21160
cz8100,Columbia,21158
cz3203,Vicksburg,21146
cz10400,Meridian,21144
cz34115,Fairbanks,21129
cz4102,Pine Bluff,21123
cz5000,Tupelo,21104
cz5700,Tullahoma,21046
cz35001,Phoenix,21043
cz10301,Eufaula,21027
cz4402,Richmond,21015
cz8300,Greenville,20914
cz25401,Paducah,20878
cz30402,Tulsa,20868
cz1001,Boone,20861
cz7100,Port St. Lucie,20858
cz33200,Paris,20845
cz10501,Columbus,20756
cz10801,Tuscaloosa,20722
cz9001,Vidalia,20708
cz31201,Austin,20685
cz301,Middlesborough,20669
cz17900,Union,20665
cz8501,Fitzgerald,20660
cz29601,Columbia,20657
cz9302,Toccoa,20656
cz17400,Hagerstown,20638
cz29401,Ottawa,20632
cz35100,Tucson,20629
cz8402,Washington,20628
cz37300,Chico,20611
cz4903,Lexington,20608
cz19700,Philadelphia,20604
cz33000,Fort Worth,20602
cz5900,Clarksville,20596
cz29502,Kansas City,20589
cz23600,Burlington,20582
cz19100,Reading,20564
cz34802,Santa Fe,20557
cz2600,Roanoke Rapids,20552
cz11302,Baltimore,20551
cz7200,Cape Coral,20550
cz8401,Aiken,20519
cz1002,Morganton,20505
cz9400,Gainesville,20474
cz2200,South Boston,20456
cz25900,Jonesboro,20442
cz11500,Jackson,20412
cz402,Martinsville,20409
cz12901,Lexington-Fayette,20408
cz21702,Austin,20389
cz9003,Dublin,20379
cz38300,Los Angeles,20366
cz700,Spartanburg,20345
cz23400,Bloomington,20343
cz10700,Birmingham,20278
cz4103,El Dorado,20276
cz20003,Presque Isle,20244
cz18900,Williamsport,20219
cz24801,Jacksonville,20207
cz6100,Gadsden,20203
