cz,Name,Household_Income_at_Age_35_rB_gF_p25
cz32601,Wichita Falls,25180
cz31303,Kerrville,25157
cz30903,Amarillo,25156
cz16702,Morgantown,25148
cz22601,Green Bay,25135
cz23100,Madison,25129
cz33602,Altus,25102
cz30602,Alamogordo,25076
cz24200,Bourbonnais,25074
cz3202,Natchez,25053
cz30100,Fort Smith,25039
cz16600,Roanoke,25027
cz29003,Dodge City,24961
cz402,Martinsville,24929
cz3101,McComb,24881
cz5600,Nashville,24880
cz30402,Tulsa,24852
cz16300,Pittsburgh,24831
cz11500,Jackson,24827
cz23600,Burlington,24812
cz24500,Rolla,24811
cz5900,Clarksville,24807
cz7100,Port St. Lucie,24805
cz7400,Orlando,24805
cz10000,Panama City,24800
cz6200,Florence,24795
cz25200,Henderson,24781
cz19902,Easton,24774
cz29005,Hutchinson,24754
cz14500,Lafayette,24746
cz1701,Raleigh,24740
cz28202,Omaha,24738
cz5500,Columbia,24731
cz4003,Ruston,24725
cz25401,Paducah,24694
cz3300,New Orleans,24676
cz33400,Longview,24652
cz3500,Baton Rouge,24635
cz28001,Sioux City,24616
cz15900,Columbus,24611
cz6900,Sarasota,24600
cz18000,Buffalo,24574
cz24100,Milwaukee,24553
cz12903,Danville,24552
cz23801,Davenport,24504
cz8000,Sumter,24498
cz15600,Wheeling,24487
cz24300,Chicago,24483
cz5800,Dickson,24470
cz1702,Henderson,24463
cz9100,Atlanta,24419
cz26102,Marshall,24408
cz11600,Detroit,24401
cz14200,Indianapolis,24388
cz37200,Fresno,24358
cz5700,Tullahoma,24314
cz1800,Goldsboro,24307
cz10600,Jasper,24278
cz10900,Pensacola,24269
cz24701,St. Louis,24266
cz22001,Waterloo,24263
cz200,Morristown,24261
cz30000,Russellville,24248
cz2300,Lynchburg,24232
cz4102,Pine Bluff,24226
cz2600,Roanoke Rapids,24193
cz10700,Birmingham,24187
cz3001,Kosciusko,24184
cz33200,Paris,24184
cz8401,Aiken,24175
cz21900,Marshalltown,24174
cz7300,Palm Bay,24145
cz1900,Jacksonville,24106
cz17700,Syracuse,24100
cz8100,Columbia,24077
cz4004,Many,24065
cz25601,Carbondale,24058
cz15500,Steubenville,24045
cz3600,Alexandria,24042
cz24802,Springfield,24036
cz21701,Rochester,23998
