cz,Name,Household_Income_at_Age_35_rW_gF_p25
cz29004,Great Bend,41391
cz21101,Rice Lake,41234
cz27501,Des Moines,41233
cz34203,Great Falls,41205
cz28101,Lincoln,41176
cz21600,Brainerd,41134
cz32702,Stephenville,41095
cz19700,Philadelphia,41061
cz28900,Denver,41004
cz37601,Elko,40938
cz34801,Las Vegas,40920
cz30802,Lubbock,40916
cz38200,Santa Barbara,40900
cz3400,Houma,40878
cz31007,Dumas,40819
cz28306,North Platte,40756
cz22500,Oshkosh,40730
cz34802,Santa Fe,40728
cz34902,Socorro,40688
cz19000,Allentown,40658
cz31900,Pearland,40655
cz16300,Pittsburgh,40586
cz10802,Demopolis,40544
cz34307,Colstrip,40505
cz39202,Enterprise,40498
cz35500,Gallup,40497
cz32602,Graham,40464
cz28704,Laramie,40456
cz29203,Manhattan,40423
cz28202,Omaha,40414
cz36401,Steamboat Springs,40387
cz28701,Salida,40341
cz32301,San Angelo,40331
cz23100,Madison,40325
cz31402,Pecos,40301
cz37700,Santa Rosa,40242
cz29302,Newton,40221
cz39302,Bellingham,40159
cz30901,Clovis,40141
cz30904,Pampa,40116
cz19100,Reading,40103
cz33100,Dallas,40037
cz26002,Duluth,40023
cz7000,Miami,39991
cz27702,Cheyenne,39961
cz35201,Grand Junction,39959
cz21003,Ironwood,39949
cz31103,Gonzales,39920
cz3800,Lafayette,39912
cz31700,Corpus Christi,39908
cz30701,Roswell,39885
cz4003,Ruston,39878
cz31301,San Antonio,39873
cz35902,Price,39838
cz39301,Friday Harbor,39837
cz29506,Bethany,39817
cz22602,Shawano,39796
cz29402,Emporia,39659
cz32202,Nacogdoches,39640
cz3202,Natchez,39636
cz21004,Rhinelander,39585
cz19300,Poughkeepsie,39555
cz31502,Pearsall,39538
cz33602,Altus,39537
cz32501,Abilene,39531
cz35701,Twin Falls,39414
cz24100,Milwaukee,39375
cz21002,Houghton,39364
cz37400,Sacramento,39362
cz32100,Beaumont,39279
cz33400,Longview,39277
cz34404,Butte-Silver Bow,39240
cz34502,Libby,39224
cz3500,Baton Rouge,39216
cz23302,Douglas,39198
cz23600,Burlington,39192
cz10502,Starkville,39166
cz32802,Corsicana,39130
cz34504,Missoula,39116
cz33802,Chickasha,39097
cz18700,Sunbury,39087
cz29002,Coldwater,39066
cz38401,Lewiston,39044
cz24200,Bourbonnais,39030
cz30501,Woodward,38992
cz38602,Colville,38955
cz34107,Dillingham,38922
cz3102,Brookhaven,38900
cz31503,Laredo,38896
cz34604,Lusk,38862
cz19903,Chincoteague,38861
cz30903,Amarillo,38852
cz13400,Lima,38851
cz33000,Fort Worth,38781
cz34701,Honolulu,38777
cz3001,Kosciusko,38768
cz33300,Tyler,38755
cz3101,McComb,38672
cz37603,Portola,38613
cz16200,Altoona,38612
cz18000,Buffalo,38597
cz18800,Scranton,38594
cz39400,Seattle,38584
cz19200,Harrisburg,38487
cz14801,Olney,38426
cz16100,State College,38425
cz34112,Bethel,38401
cz29204,Topeka,38394
cz20401,Providence,38390
cz35401,Flagstaff,38352
cz32604,Vernon,38345
cz18600,Albany,38326
cz32601,Wichita Falls,38326
