tract,Name,Household_Income_at_Age_35_rH_gM_p25
6085509201,"Jackson Park, Mountain View, CA",64968
36081089200,"Queens County, NY",64867
48461950100,"Midkiff, TX",64864
6087120600,"Felton, CA",64678
34023007304,"Parlin, Sayreville, NJ",64658
36087011404,"Nanuet, NY",64558
17161022000,"Stewartville, Moline, IL",64551
17097861014,"Lake Villa, IL",64327
17099962700,"Downtown, Ottawa, IL",64306
22089062301,"Destrehan, LA",64284
48251130207,"Burleson, TX",64207
34039035800,"Rahway, NJ",64188
35025000800,"Eunice, NM",64174
12099007741,"Boca Raton, FL",64163
8093000100,"Bailey, CO",64084
6073008344,"University City, San Diego, CA",64064
48439106513,"Handley, Fort Worth, TX",63990
48303001705,"Lubbock, TX",63981
6037920326,"Valencia, Stevenson Ranch, CA",63938
53053071206,"Puyallup, WA",63924
6001406900,"Redwood Heights, Oakland, CA",63911
13053020201,"Fort Benning, GA",63893
4019004726,"Shadow Hills, Tucson, AZ",63860
12099007748,"Boca Raton, FL",63812
6073017052,"Rancho Bernardo, San Diego, CA",63807
6055201800,"Napa, CA",63806
41003000600,"Corvallis, OR",63752
6037189800,"Central LA, Los Angeles, CA",63682
36103135104,"Smithtown, NY",63669
8077001002,"Grand Junction, CO",63636
11001000701,"Cathedral Heights, Washington, DC",63617
6059052417,"Northwood, Irvine, CA",63504
6013302008,"Oakley, CA",63484
48029181823,"Northwest Side, San Antonio, TX",63472
6111005504,"Camarillo, CA",63467
48329000304,"Trinity Estates, Midland, TX",63454
12019030801,"Orange Park, FL",63411
10003014810,"Bear, DE",63379
12099007822,"Jupiter, FL",63226
6067005801,"Carmichael, CA",63160
6073009504,"Scripps Ranch, San Diego, CA",63145
16001010322,"Meridian, ID",63123
34003006100,"Cliffside Park, NJ",63120
33011011402,"Nashua, NH",63096
6019005517,"Fresno, CA",63018
6029000909,"Bakersfield Country Club, Bakersfield, CA",62998
48157671501,"Lakeside Meadow At Brightwater, Missouri City, TX",62926
48093950200,"Comanche, TX",62896
48201554002,"Champion Forest, Spring, TX",62830
48495950200,"Kermit, TX",62829
36103124101,"Lindenhurst, NY",62810
6085503332,"Evergreen, San Jose, CA",62792
51059450800,"Annandale, VA",62741
6067008504,"Natoma Station, Folsom, CA",62660
6029006008,"Tehachapi, CA",62545
48201541601,"Houston, TX",62507
12086003803,"Bal Harbour, FL",62502
6037403320,"Diamond Bar, CA",62372
51153900408,"Dale City, VA",62315
6067009309,"Elk Grove, CA",62215
17043841322,"Hanover Park, IL",62159
48201253300,"Baytown, TX",62110
4013116721,"Ahwatukee Foothills Village, Phoenix, AZ",62094
4019004615,"Leonardo Estates, Tucson, AZ",62093
36081142900,"Queens County, NY",62085
24031700613,"Germantown, MD",62055
6081601100,"Daly City, CA",62023
36061014802,"Upper East Side, New York, NY",61743
17043842710,"Glen Ellyn, IL",61732
51059482301,"Reston, VA",61686
36081061900,"Queens County, NY",61639
6073017036,"Rancho Peñasquitos, San Diego, CA",61615
4013116709,"Ahwatukee Foothills Village, Phoenix, AZ",61614
6037572202,"Wrigley, Long Beach, CA",61543
36059408000,"East Meadow, NY",61530
22051025201,"Terrytown, LA",61503
41003010100,"Albany, OR",61471
48201430900,"Westside, Houston, TX",61459
53061053504,"Arlington, WA",61430
53033032006,"Kent, WA",61428
51059451800,"Lincolnia, VA",61391
34003051100,"Rutherford, NJ",61390
6029003812,"Pheasant Run, Bakersfield, CA",61318
6059075604,"Santa Ana, CA",61272
4019004636,"Copper Creek, Tucson, AZ",61265
48339690601,"Alden Bridge, The Woodlands, TX",61235
18099020101,"Bremen, IN",61197
6077003214,"Sherwoods Manor, Stockton, CA",61160
36081069300,"Queens County, NY",61073
6073009706,"Del Cerro, San Diego, CA",61021
24031700205,"Germantown, MD",61013
51013102002,"Ashton Heights, Arlington, VA",60989
42011010802,"Sinking Spring, PA",60963
34033020300,"Penns Grove, NJ",60920
36081063800,"Queens County, NY",60871
48201422000,"Southwest Houston, Houston, TX",60865
51059420800,"Groveton, Alexandria, VA",60865
6073016615,"Santee, CA",60847
49003960400,"Tremonton, UT",60807
29169470600,"Fort Leonard Wood, MO",60799
36059301200,"Port Washington, NY",60747
48103950100,"Crane, TX",60683
13179010101,"Fort Stewart, GA",60673
32003002843,"Henderson, NV",60651
6037650102,"Northwest Torrance, Torrance, CA",60608
48409010602,"Portland, TX",60584
